"Dibutyltennväteborat	'75113-37-0	'401-040-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Allergiframkallande	 Hög kronisk giftighet	 Mutagena (kategori 2)	 Miljöfarligt, långtidseffekter		
"Bly(4+)palmitat	'7717-47-7	'	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly(4+)stearat	'7717-46-6	'231-740-4	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blybis(difenylditiokarbamat)	'75790-73-7	'	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blyselenit	'7488-51-9	'231-300-1	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blyselenat	'7446-15-3	'231-199-4	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly(2+)-2-butendioat, basisk	'90268-59-0	'290-862-6	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly antimon gul pyroklor	'8012-00-8	'232-382-1	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Benzenesulfonic acid, 4-C10-13-sec-alkyl derivs., lead(2+) salts	'84961-75-1	'284-665-4	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-2,4-dihydroxibenzoat	'68954-05-2	'	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Hartssyra, blysalt	'9008-26-8	'232-714-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blyhydroxi(2-hydroxibenzoat-O1,O2)	'87903-39-7	'	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blydibensoat	'873-54-1	'212-841-2	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-diakrylat	'867-47-0	'212-760-2	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly(2+)didodecylbenzensulfonat	'85865-92-5	'288-692-2	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly(2+)tetrakosylbenzensulfonat	'85865-91-4	'288-691-7	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blyuranat, pigment	'85536-79-4	'287-565-9	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-bis(5-oxo-DL-prolinat)	'85392-78-5	'286-936-2	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blydipidolat	'85392-77-4	'286-935-7	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly(2+)-4-(1,1-dimetyletyl)benzoat	'85292-77-9	'286-637-7	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-(C5-23)-grenade karboxylat-(C4-10)-karboxylat komplex	'84066-98-8	'281-934-8	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-(C8-10)-karboxylat grenad	'85049-42-9	'285-212-3	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly, isononanoat naftenat komplex	'84929-97-5	'284-577-6	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blynaftenatneodekanoat komplex, basisk	'84929-96-4	'284-576-0	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blyisooktanoatneodekanoat komplex, basisk	'84929-95-3	'284-575-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blyisononanoatisooktanoat komplex, basisk	'84929-94-2	'284-573-4	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly(2+)isodekanoat	'84852-34-6	'284-345-4	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-(C18-24)-karboxylat	'84776-54-5	'283-982-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Fatty acids, C8-18 and C18-unsatd., lead salts	'84776-36-3	'283-962-6	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly(2+)-4-oktylfenolat	'84394-98-9	'282-756-3	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Speiss, lead	'84195-61-9	'282-366-3	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Slimes and Sludges, lead, electrolytic	'84195-60-8	'282-365-8	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-skärsten	'84195-51-7	'282-356-9	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Flue dust, lead-manufg., cadmium-rich	'85117-02-8	'285-554-3	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Cd	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter			
"Leach residues, zinc ore-calcine	'69012-70-0	'273-766-9	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly(II)sulfat	'7446-14-2	'231-198-9	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Leach residues, precious metal recovery lead refining	'69029-72-7	'273-813-3	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Leach residues, lead slag	'69029-71-6	'273-812-8	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Flue dust, lead-refining	'69029-67-0	'273-809-1	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bismuth, refinery lead chloride residues	'69029-61-4	'273-803-9	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Lead refinery de-silverizing rims	'69029-60-3	'273-802-3	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Secondary lead smelting	'69029-58-9	'273-800-2	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Lead refinery zinc blocks	'69029-57-8	'273-799-9	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Lead oxide (PbO), retort	'69029-53-4	'273-797-8	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blyslagg	'69029-52-3	'273-796-2	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Antimonial lead	'69029-50-1	'	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Rostad blyåterstod	'69029-78-3	'273-820-1	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Calcines, copper smelting-fly-ash	'69012-78-8	'273-775-8	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Återstod vid blysmältning	'69029-79-4	'273-821-7	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Flue dust, lead-tin alloy-manufg.	'69012-60-8	'273-758-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Lead smelter, sponge cadmium precipitate	'69011-70-7	'	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Cd	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter			
"Lead alloy, base, Sn, dross	'69011-60-5	'273-701-4	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Silvertacka	'69011-54-7	'	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Triblykromatsilikat	'69011-07-0	'273-689-0	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"[1,2-benzendikarboxylato(2-)]dioxotribly	'69011-06-9	'273-688-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Linseed oil, polymer with lead oxide(PbO) and tung oil	'68990-75-0	'	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Gilsonite, linseed oil polymer, lead salt	'68989-89-9	'	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blybariumniobvismuttitanoxid	'68987-33-7	'	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Gilsonit, polymer med cyklopentadien, dikyclopentadien, linolja och blyoxid	'68956-49-0	'	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Lead, dross, bismuth-rich	'69029-46-5	'273-792-0	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Lead, alkyls, manufg. wastes	'70513-89-2	'274-632-2	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly	'7439-92-1	'231-100-4	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blystearat	'7428-48-0	'231-068-1	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blyoktanoat	'7319-86-0	'230-784-1	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-bis(nonylfenolat)	'72586-00-6	'276-725-3	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly(2+)-2-hydroxietansulfonat	'72437-77-5	'	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bariumzinksilikat, blydopad	'71799-66-1	'	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blyhydroxi(neodekanat-O)	'71753-04-3	'275-988-1	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly(2+)2-butendioat	'71686-03-8	'275-845-3	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly(2+)neodekanat	'71684-29-2	'275-836-4	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly(2+)isooktadekanoat	'70727-02-5	'274-822-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blyformiat	'7056-83-9	'230-336-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Calcines, lead ore conc.	'69029-74-9	'273-815-4	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Flue dust, lead blast furnace	'70514-05-5	'274-633-8	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly(2+)-(Z)-2-butendioat, basisk	'90268-66-9	'290-869-4	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blydekanoatoktanoat komplex	'70321-55-0	'274-558-0	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly(2+)-nitroresorcinolat	'70268-38-1	'274-521-9	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-(C6-19)-karboxylat, grenade, naftenat komplex	'70084-67-2	'274-302-8	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bis(acetyloxi)difenylbly	'6928-68-3	'230-052-1	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Fatty acids, tallow, hydrogenated, mixed with acetic acid, coconut oil, decanoic acid and octanoic acid, calcium lead salts	'69103-04-4	'	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Acetic acid, oleic acid, candelilla wax, tallow, calcium-lead complex salt	'69103-03-3	'	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Slimes and Sludges, lead refining	'69029-93-2	'273-833-2	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Tellurslagg	'69029-86-3	'273-828-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Slagg av ädelmetaller vid blyraffinering	'69029-85-2	'273-826-4	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Slagg vid blysmältning	'69029-84-1	'273-825-9	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Residues, precious metal recovery lead refining	'69029-80-7	'273-822-2	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Slimes and Sludges, lead sinter dust scrubber	'70514-37-3	'274-639-0	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-tetrakosanoat	'93966-38-2	'300-989-1	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Speiss, lead-zinc	'93821-72-8	'298-759-8	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"2-etylhexanoatisodekanoatbly	'94246-92-1	'304-166-8	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"2-etylhexanoatisononanoatbly	'94246-91-0	'304-165-2	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"2-etylhexanoatisooktanoatbly	'94246-90-9	'304-164-7	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Isodekanoatneodekanoatbly	'94246-87-4	'304-161-0	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Isodekanoatisononanoatbly	'94246-86-3	'304-160-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Isodekanoatisooktanoatbly	'94246-85-2	'304-158-4	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Isononanoaisooktanoatbly	'94246-84-1	'304-157-9	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-diundek-10-enoat	'94232-40-3	'303-968-5	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"[mu-[[5,5'-azobis[1H-tetrazolato]](2-)]]dihydroxidibly	'94015-57-3	'301-376-1	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blyhexakosanoat	'94006-20-9	'301-357-8	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blydiikosanoat	'94266-31-6	'304-438-6	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blypentadekanoat	'93966-74-6	'301-027-3	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Blyikosanoat	'94266-32-7	'304-439-1	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-bis(trikosanoat)	'93966-37-1	'300-988-6	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Bly-bis(isoundekanoat)	'93965-29-8	'300-979-7	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Phosphoric acid, mixed Bu and hexyl diesters, lead(2+) salts	'93925-27-0	'300-328-7	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
"Neononanoatneoundekanoatbly	'93894-64-5	'299-764-8	Utfasningsämne	CMR (kategori 1A och 1B), Reproduktionsstörande"	 Särskilt farliga metaller (Hg, Cd, Pb), Pb	 Miljöfarligt, långtidseffekter				
